item_category,buy,cart,fav,pv
245,1,0,0,32
246,0,0,0,1
247,1,4,1,287
248,0,0,0,2
249,0,0,0,7
254,10,44,66,1544
255,2,3,1,91
256,0,0,0,14
257,8,28,3,416
258,1,1,0,3
259,3,2,2,324
260,0,0,0,45
261,0,0,0,32
262,0,0,0,2
263,0,0,0,2
264,0,1,0,13
265,0,0,0,3
267,0,0,0,3
270,5,7,2,186
271,4,3,1,121
272,0,0,0,26
274,0,0,0,10
276,0,0,0,23
277,0,0,0,11
279,6,36,57,3060
280,10,32,38,2164
281,15,26,12,991
282,0,0,0,4
284,155,269,96,6706
285,0,0,0,29
288,10,55,25,2522
289,1,2,0,31
290,0,1,0,39
291,1,2,6,44
292,263,743,407,17022
293,0,0,0,32
295,0,0,0,10
296,1,20,29,1173
297,2,21,12,1204
298,0,3,7,310
299,2,1,0,10
300,8,33,25,1603
301,0,3,1,709
305,0,1,0,15
306,1,1,0,14
308,0,0,0,16
309,6,12,3,189
312,0,0,0,3
314,0,0,0,4
316,21,125,85,2790
317,0,4,0,20
318,4,11,21,647
322,0,0,0,17
324,0,2,1,58
325,0,1,2,59
326,0,1,0,25
327,1,3,4,225
328,0,0,0,28
329,0,3,0,165
331,1,1,0,16
332,20,26,7,888
335,0,0,2,27
336,2,4,3,67
337,8,15,10,860
338,9,11,5,277
339,0,0,0,15
340,12,10,1,390
343,4,0,1,76
344,1,0,3,101
345,0,0,1,31
346,0,0,0,40
347,10,25,11,371
348,0,0,0,2
350,0,0,0,81
351,1,1,2,34
354,8,43,30,844
355,0,0,0,1
360,0,0,0,2
362,1,6,3,497
363,25,115,80,5003
364,0,7,6,245
369,1,0,0,2
371,1,3,2,322
372,0,0,0,6
374,0,0,0,72
377,0,0,0,26
382,1,8,6,643
384,2,53,124,2975
385,0,2,0,4
387,0,0,0,6
388,20,36,9,566
389,0,4,5,216
390,8,27,6,477
391,0,0,1,25
392,0,7,2,61
393,0,1,0,19
394,0,0,0,13
395,0,0,0,37
396,1,1,10,275
397,3,5,7,422
398,5,8,0,123
402,1,2,3,69
404,4,23,17,566
407,0,1,0,33
408,0,0,0,3
409,0,1,1,118
410,8,25,54,1081
413,1,4,1,118
414,13,23,10,368
416,1,15,1,205
417,0,5,5,264
418,4,5,15,361
420,0,0,3,69
421,0,0,0,1
422,0,0,0,2
426,0,0,0,4
427,2,8,21,662
428,0,0,0,10
429,2,15,8,352
432,10,85,49,1706
433,0,0,1,9
434,1,7,14,823
435,5,7,6,161
436,102,431,249,12875
437,113,512,716,24901
438,129,185,66,4072
440,0,0,0,34
441,0,1,0,30
442,1,5,4,232
443,4,8,0,137
444,20,57,34,3968
445,0,0,0,2
446,370,771,223,13114
447,2,0,7,321
448,0,0,0,3
449,2,2,3,306
450,0,0,0,27
451,84,245,163,9241
452,0,0,0,2
454,3,4,4,73
458,0,3,8,71
460,8,14,10,519
463,1,1,2,22
464,0,0,0,8
465,1,1,0,11
466,0,0,1,20
467,8,13,5,219
470,3,47,29,1891
472,3,4,5,111
476,0,0,0,67
477,0,2,0,21
479,1,0,1,32
480,0,0,0,5
481,0,0,0,11
482,0,1,0,3
483,31,43,23,1038
484,35,109,41,2498
488,1,1,0,60
491,0,0,0,2
492,15,167,233,10896
493,18,60,27,1028
494,0,0,0,5
496,0,1,0,20
497,7,14,3,423
498,0,0,1,38
499,0,0,1,48
500,0,0,0,29
501,10,29,1,265
503,0,5,0,70
504,11,8,5,232
506,1,0,1,11
507,1,11,3,167
508,371,1401,945,43891
509,0,1,0,39
510,0,0,0,3
512,40,103,50,2227
513,2,1,4,30
514,2,7,2,282
515,3,13,11,602
516,1,4,2,76
519,4,17,14,575
520,1,1,3,57
522,10,18,9,233
523,0,0,0,4
524,0,0,1,148
526,0,0,0,11
527,4,6,1,73
528,0,0,1,33
529,0,1,0,57
531,0,1,2,105
533,1,2,1,45
534,0,0,1,11
535,2,10,8,376
536,2,3,9,201
537,0,1,1,19
538,0,0,0,3
539,0,2,1,59
540,2,5,1,99
544,2,4,5,155
545,0,0,0,13
547,3,108,46,1867
550,0,0,0,4
551,1,2,2,98
552,488,1461,1392,60538
554,0,0,3,26
557,0,0,0,2
560,3,12,11,259
561,0,0,2,13
563,0,0,0,2
564,11,15,5,136
566,41,88,24,815
568,1,4,1,22
570,0,0,0,1
572,2,3,2,22
574,11,86,49,3559
576,0,0,0,2
577,4,7,0,24
581,1,4,2,67
582,2,1,0,118
583,35,26,5,735
585,0,0,0,6
586,5,23,10,383
590,13,28,2,1502
591,4,10,7,432
594,0,0,0,24
597,2,9,13,1199
599,5,1,10,654
600,15,21,11,680
602,1,0,2,19
603,105,263,130,4406
604,2,10,1,71
606,14,14,14,1210
607,1,7,0,73
608,0,2,0,8
612,5,10,0,229
613,0,0,0,2
614,3,3,3,250
615,0,0,0,56
618,15,9,13,779
620,2,3,3,161
622,0,0,0,23
623,5,12,4,117
625,1,0,0,101
626,0,2,2,53
627,0,0,1,22
629,0,1,0,66
630,93,166,44,3745
632,11,58,1,266
633,6,6,1,145
634,18,35,10,415
635,0,0,0,31
636,1,0,0,11
637,1,0,1,145
638,0,0,0,1
641,0,0,0,6
642,1,12,17,401
645,0,2,0,29
646,0,0,0,15
651,0,0,0,12
653,0,0,1,3
656,0,0,0,28
657,2,7,7,282
659,1,2,3,199
660,0,14,5,401
661,0,1,0,21
662,1,3,7,85
663,0,0,0,4
668,0,0,0,4
669,1,3,3,93
672,0,0,0,12
673,0,0,0,6
674,11,37,16,862
675,216,358,128,7207
676,0,0,0,3
677,1,0,0,40
678,0,0,0,11
679,0,0,1,75
682,0,0,1,20
684,0,0,0,35
685,1,4,2,65
686,2,15,1,330
687,5,4,1,147
689,13,37,4,257
692,0,6,5,128
694,0,0,2,10
695,0,1,0,14
696,0,0,2,38
697,2,16,16,778
701,0,0,0,16
703,0,0,0,4
705,12,41,11,994
706,0,0,0,2
712,22,56,12,823
713,0,1,3,348
715,1,2,3,126
718,1,5,2,121
721,1,3,0,45
722,8,19,6,515
723,0,0,0,8
725,14,28,36,1539
727,0,0,0,3
728,7,23,7,411
730,4,11,12,951
732,76,133,43,2591
733,33,116,69,3980
734,1,0,1,16
736,0,0,2,2
737,0,0,0,20
738,36,119,28,1027
740,6,89,208,5153
741,0,0,0,4
742,1,1,0,36
753,0,0,0,18
756,6,8,2,228
758,33,33,13,908
762,0,1,0,12
765,6,24,29,1093
767,23,101,95,5546
768,10,10,8,256
769,29,45,14,1424
770,1,0,0,48
772,2,4,0,137
778,0,0,0,2
779,0,0,0,3
780,2,7,5,528
781,2,2,0,29
782,29,68,54,1771
783,1,6,5,366
784,24,30,43,3124
786,0,1,0,17
789,0,1,0,28
790,0,2,1,29
791,1,7,4,108
792,2,4,7,399
793,0,0,0,14
794,0,0,0,17
795,0,6,0,36
797,0,0,0,8
798,0,1,0,2
799,0,2,0,96
801,0,0,0,1
802,0,0,0,2
803,0,0,3,51
805,13,17,11,604
807,4,7,10,543
808,3,2,2,72
810,0,0,0,22
811,1,1,6,49
814,182,331,190,7537
818,1,3,1,113
819,4,19,5,872
820,0,1,1,106
821,0,0,0,2
824,0,1,0,28
825,2,18,2,201
826,0,0,1,41
829,10,12,10,297
830,2,2,0,112
831,17,48,10,445
832,0,1,0,10
834,4,10,0,163
835,0,0,0,11
836,29,59,30,1888
838,14,22,10,953
839,0,0,0,60
840,1,6,1,90
841,0,0,0,4
844,0,2,1,31
845,0,0,1,41
846,0,0,0,6
848,0,0,1,7
849,15,57,28,1530
850,0,0,0,11
851,0,0,0,59
853,0,0,0,61
855,4,7,1,425
856,31,98,37,2041
860,0,0,0,1
863,11,19,7,380
864,0,0,0,5
865,1,1,4,197
866,0,0,0,5
867,0,0,0,1
873,0,0,0,8
874,353,769,398,22888
875,0,0,0,1
878,6,6,0,167
879,21,27,33,1304
881,90,124,85,4304
882,0,0,0,8
883,20,47,31,1632
884,0,0,0,4
885,4,3,3,204
886,0,4,1,108
887,48,80,43,4703
888,17,77,37,2136
889,135,380,236,10395
890,0,1,0,27
891,0,0,0,25
892,15,31,6,250
893,35,273,50,2160
894,1,2,4,318
895,31,202,193,14002
896,0,0,2,25
897,2,2,1,104
900,0,0,6,29
903,2,6,4,226
904,0,0,0,10
905,31,39,31,2184
906,0,0,0,24
907,1,4,0,131
909,24,36,40,1977
910,11,8,4,270
912,3,1,1,48
914,1,0,2,35
915,0,0,0,7
916,0,6,0,36
920,1,10,6,382
921,0,0,0,26
922,6,16,19,705
924,8,23,2,262
927,0,0,1,15
929,0,0,0,3
930,3,12,3,158
931,0,0,0,7
932,0,0,0,2
933,0,0,0,3
934,0,22,19,1240
937,1,1,0,11
938,1,2,0,155
939,132,408,256,10586
940,42,1,42,2590
944,2,2,0,121
946,2,2,5,91
948,0,0,0,16
949,0,0,0,8
951,0,10,8,592
952,0,0,0,2
953,5,4,8,310
955,0,0,0,2
956,0,0,0,8
957,0,1,0,8
959,0,0,0,9
960,0,0,0,2
961,0,0,0,11
962,1,5,3,70
963,0,2,3,102
966,0,0,2,14
969,3,4,0,140
970,4,11,11,401
971,0,0,1,6
972,1,2,0,49
975,0,0,0,2
976,6,15,13,605
978,3,2,2,98
979,0,0,1,7
981,0,0,1,7
983,46,85,65,3188
984,0,5,6,130
987,16,46,58,1529
988,0,5,0,26
989,108,569,409,18593
990,0,0,0,6
991,0,0,0,2
994,5,1,3,84
996,2,5,15,312
997,4,6,12,1111
1002,5,13,7,380
1005,57,0,8,1055
1007,0,0,0,1
1008,1,4,0,68
1010,9,26,4,270
1011,0,0,1,3
1013,0,1,0,95
1014,0,2,1,68
1016,0,0,0,12
1019,0,0,0,38
1022,0,1,1,5
1026,0,0,0,36
1028,0,0,0,1
1029,33,93,51,1586
1032,54,96,50,2218
1033,1,1,0,53
1034,5,3,6,46
1035,0,0,0,34
1037,0,1,0,54
1038,0,0,0,6
1039,17,35,28,699
1040,7,3,1,42
1041,0,0,0,1
1043,0,0,1,19
1048,13,47,37,1443
1049,0,2,0,19
1051,0,0,0,9
1053,0,0,0,20
1056,0,0,0,29
1058,0,0,0,10
1059,7,20,4,268
1060,0,1,1,89
1061,0,1,0,6
1062,1,1,0,54
1065,3,0,0,34
1075,1,1,0,5
1077,0,2,0,10
1078,1,2,0,14
1079,7,9,5,604
1080,43,129,61,3229
1081,32,62,13,655
1083,530,1801,1385,66066
1084,0,2,2,104
1085,1,1,0,42
1087,8,3,6,151
1088,0,1,0,7
1089,0,0,1,29
1090,0,0,1,38
1092,3,6,2,143
1093,0,0,0,119
1094,0,0,0,26
1096,65,37,17,1242
1098,16,103,153,3501
1099,2,1,0,88
1101,3,11,32,830
1102,11,20,4,333
1103,0,0,0,9
1105,0,9,7,307
1106,0,0,0,190
1107,0,0,0,9
1109,3,7,0,238
1110,7,27,35,2774
1114,1,2,0,86
1116,17,88,37,1941
1117,1,0,0,78
1119,1,1,0,70
1120,3,9,2,265
1121,358,1133,665,41596
1122,0,0,0,5
1123,0,0,0,15
1124,6,6,8,480
1126,27,60,12,1011
1127,0,0,0,2
1129,2,6,2,551
1130,0,0,0,4
1132,0,0,0,6
1133,0,0,0,4
1134,0,0,0,28
1135,0,0,4,108
1136,0,0,0,19
1137,0,2,0,32
1138,0,0,0,21
1139,1,2,3,65
1140,1,3,0,159
1141,0,1,0,11
1143,0,0,0,1
1144,7,13,7,931
1146,0,1,0,4
1147,0,0,0,7
1149,3,0,5,128
1150,18,0,4,382
1151,0,0,0,3
1152,21,39,17,737
1155,9,69,57,2578
1157,13,10,0,59
1159,24,74,54,2167
1161,0,0,0,3
1162,0,0,0,24
1163,2,0,1,69
1164,0,0,0,5
1166,4,38,19,2209
1169,37,91,49,7007
1170,0,0,1,13
1171,0,0,0,141
1172,0,0,0,2
1173,57,104,14,1413
1175,2,2,1,69
1176,0,0,0,1
1177,0,0,0,3
1180,2,2,1,67
1181,0,0,0,2
1182,0,1,0,19
1183,18,40,10,934
1184,0,0,0,1
1185,0,1,0,3
1186,4,1,1,42
1188,0,0,0,2
1190,10,28,29,988
1191,0,1,0,2
1193,2,6,5,151
1194,2,4,1,59
1198,15,22,19,1376
1199,22,67,9,1615
1203,0,0,0,1
1204,5,25,10,694
1205,0,3,18,626
1207,0,0,0,4
1209,0,1,1,133
1211,0,0,0,2
1212,0,0,3,117
1213,4,0,3,1198
1215,11,38,46,1561
1219,0,1,2,66
1220,1,2,0,10
1223,0,0,0,9
1224,11,30,8,433
1227,14,13,0,164
1229,0,0,0,15
1230,126,219,76,4466
1232,0,0,0,9
1233,17,41,14,460
1234,0,4,3,200
1238,3,4,6,410
1242,9,28,13,1261
1243,2,2,0,36
1249,8,11,12,180
1250,10,40,45,1167
1252,2,3,0,52
1253,3,9,14,732
1254,1,0,1,106
1256,0,2,0,48
1257,0,3,1,131
1260,25,75,17,662
1267,21,32,10,2143
1268,0,3,0,38
1269,0,0,0,79
1271,1,0,0,54
1272,0,0,0,7
1273,1,0,0,8
1274,0,5,10,262
1276,0,0,0,40
1277,0,0,0,4
1278,0,0,0,25
1279,1,5,3,138
1280,0,0,0,26
1281,0,1,0,81
1282,0,0,0,4
1286,5,11,3,280
1287,13,27,3,260
1288,6,17,4,380
1289,0,0,0,26
1293,0,0,1,46
1294,0,4,6,263
1298,0,0,0,1
1300,6,7,2,84
1301,4,11,3,182
1302,0,0,0,12
1303,141,274,216,7140
1304,2,26,45,756
1305,7,14,4,175
1308,63,233,334,9607
1310,78,109,16,1653
1313,4,23,10,451
1314,0,0,0,15
1315,2,3,5,82
1316,14,7,7,193
1317,50,144,24,1361
1318,0,0,0,1
1324,11,33,13,1189
1326,0,2,0,35
1329,8,16,9,456
1333,0,0,0,18
1334,4,10,8,270
1335,0,0,0,6
1336,0,0,0,28
1337,30,129,107,3882
1340,0,0,0,16
1341,0,0,0,1
1342,0,0,0,10
1343,1,2,0,16
1344,2,0,4,87
1345,0,1,0,4
1346,104,178,56,3051
1347,0,0,0,9
1349,3,5,1,117
1350,3,3,2,79
1351,0,0,0,9
1352,0,0,0,3
1353,2,3,1,195
1354,1,2,0,132
1356,1,2,6,494
1357,4,7,1,72
1359,0,0,0,2
1361,58,79,30,2491
1362,18,24,7,579
1364,0,0,0,2
1365,1,1,3,111
1366,0,0,2,126
1367,0,0,0,21
1370,68,155,61,3733
1371,2,0,0,29
1372,0,2,0,11
1375,0,0,1,18
1377,2,7,16,1515
1379,0,0,1,13
1381,0,6,0,94
1382,0,0,0,23
1383,0,0,0,21
1385,38,261,381,9291
1387,0,0,0,6
1389,1,1,1,20
1390,0,0,0,20
1391,0,1,0,50
1392,29,97,18,3759
1393,5,0,0,33
1394,7,17,6,551
1395,0,0,0,12
1396,76,432,232,11791
1401,17,27,11,548
1402,0,1,2,26
1403,0,0,0,4
1404,6,2,4,117
1405,1,2,0,32
1407,5,14,1,237
1408,24,44,26,1794
1409,0,0,0,2
1411,0,0,0,7
1412,3,0,2,187
1413,2,0,3,32
1414,0,1,0,100
1415,0,0,0,9
1419,2,0,0,29
1420,1,3,7,173
1421,327,1035,289,14460
1423,0,0,0,13
1427,66,202,114,7804
1429,1,0,0,38
1430,1,4,1,91
1431,1,4,1,114
1433,0,0,0,2
1434,0,0,0,4
1435,0,0,0,3
1436,7,9,2,64
1439,0,0,0,3
1441,8,69,24,3477
1442,14,16,9,260
1444,0,1,0,29
1447,3,9,3,224
1450,0,5,6,219
1451,9,30,19,1189
1452,4,6,2,102
1453,5,10,8,872
1455,5,26,23,910
1456,18,49,10,549
1459,0,0,0,2
1462,0,11,0,385
1463,0,0,0,216
1467,1,0,9,54
1471,8,26,24,795
1472,0,0,0,1
1473,0,2,4,191
1477,16,53,33,1502
1479,0,0,0,1
1480,5,0,0,70
1481,0,1,1,26
1483,53,184,93,7388
1485,2,3,7,274
1486,25,68,39,1425
1488,78,465,420,24010
1489,1,9,3,85
1491,5,7,5,393
1492,0,0,0,8
1495,1,2,0,80
1497,2,0,0,9
1498,2,0,0,37
1501,2,7,6,178
1503,0,1,0,23
1504,50,122,15,1439
1505,4,15,8,269
1507,1,1,0,33
1508,5,78,58,2232
1509,164,255,45,3581
1510,0,0,0,8
1512,2,0,0,148
1513,1,0,0,84
1514,17,33,24,508
1516,0,3,0,96
1518,78,114,125,7397
1519,42,200,214,5531
1521,0,0,0,7
1522,0,0,1,10
1524,0,12,8,300
1527,6,19,9,879
1528,0,0,0,20
1529,1,0,0,3
1530,11,4,3,189
1531,1,2,2,14
1535,0,0,1,10
1537,1,2,0,115
1538,0,0,0,7
1539,0,0,0,4
1540,0,0,0,10
1543,0,1,0,14
1545,0,1,0,12
1547,0,0,0,39
1548,0,0,0,30
1549,0,3,0,11
1550,19,32,5,876
1551,2,3,0,51
1552,0,0,0,1
1553,0,0,0,1
1554,1,0,0,33
1555,2,2,2,141
1556,2,0,0,150
1559,5,4,6,216
1560,0,1,0,98
1561,8,20,43,981
1562,0,0,0,13
1563,0,2,0,36
1564,10,59,76,2799
1568,2,11,3,94
1570,0,1,0,7
1571,0,2,0,25
1572,17,25,23,914
1573,0,0,0,6
1574,0,1,0,89
1576,0,0,0,7
1578,1,0,0,99
1579,2,0,1,36
1580,1,4,0,121
1582,4,19,1,308
1584,13,40,13,709
1585,0,0,0,10
1587,0,0,0,2
1588,22,38,10,640
1589,0,0,0,3
1591,0,0,0,5
1592,0,0,0,113
1593,0,0,0,2
1594,1,1,1,50
1595,0,0,0,6
1597,0,0,1,53
1599,7,19,4,770
1600,0,1,0,7
1601,4,33,15,1148
1602,3,3,12,229
1604,42,138,25,1024
1606,21,36,12,810
1610,7,24,16,922
1611,0,6,3,65
1613,0,0,0,38
1614,1,0,0,4
1615,0,0,1,43
1616,0,0,0,28
1618,2,4,0,85
1620,0,0,0,24
1622,0,1,0,23
1624,1,0,2,69
1625,1,7,5,439
1626,1,1,3,117
1630,14,42,12,370
1632,1,14,13,899
1633,0,3,1,30
1634,0,0,0,2
1635,1,2,3,247
1637,0,0,0,3
1638,9,9,6,461
1640,7,17,14,624
1641,0,0,1,87
1642,8,40,25,1160
1643,9,19,12,552
1648,0,1,0,13
1649,1,2,4,627
1650,24,74,68,3055
1653,0,0,0,24
1654,1,1,0,63
1655,0,0,0,2
1656,5,4,3,268
1658,0,0,0,13
1660,0,0,1,8
1662,0,1,0,40
1663,4,5,4,69
1664,3,3,0,15
1665,0,0,0,12
1666,4,12,7,267
1667,0,0,0,18
1670,0,0,0,100
1671,0,0,1,14
1672,0,0,0,5
1674,282,701,115,7723
1675,1,9,4,145
1676,1,1,0,6
1678,0,3,0,94
1679,0,1,0,20
1680,1,1,1,19
1682,0,0,0,9
1683,0,1,0,90
1685,0,0,0,13
1686,22,41,13,1207
1687,0,0,0,63
1689,2,3,0,29
1690,0,2,0,3
1692,0,0,0,19
1696,1,0,0,17
1698,0,0,0,5
1703,0,0,0,14
1708,0,0,0,25
1709,1,1,1,104
1710,5,12,16,591
1714,3,1,0,22
1718,2,10,5,456
1720,38,128,39,2178
1722,15,13,5,369
1723,140,234,77,3759
1724,0,0,0,12
1725,0,0,0,2
1726,14,29,7,412
1727,1,6,5,336
1728,1,1,0,54
1729,0,0,0,5
1730,0,0,0,16
1731,2,3,0,106
1732,0,0,0,8
1733,0,1,0,39
1735,0,0,0,5
1736,0,10,10,248
1737,0,0,0,3
1738,0,0,0,5
1741,21,89,105,5444
1742,15,4,1,269
1744,0,7,1,302
1745,0,0,0,4
1746,0,0,0,27
1749,0,0,0,18
1750,8,47,52,1844
1753,0,0,0,14
1755,0,0,2,71
1757,1,2,1,28
1758,6,6,5,190
1760,0,0,3,70
1762,4,7,0,169
1765,0,0,0,43
1766,0,0,0,1
1767,0,0,0,4
1768,1,2,1,7
1769,5,6,1,95
1770,3,9,4,422
1773,0,0,1,63
1775,0,1,0,33
1777,0,0,0,24
1778,0,0,0,1
1779,0,0,0,14
1780,0,0,0,5
1782,0,0,0,42
1784,1,3,0,29
1785,0,0,2,32
1787,0,1,1,33
1788,0,0,0,2
1790,1,6,0,25
1791,1,0,0,111
1792,0,0,0,15
1793,3,4,3,91
1794,0,5,13,440
1795,0,3,5,107
1796,0,0,0,3
1797,84,365,260,8146
1799,3,24,9,291
1800,23,37,16,547
1801,4,8,1,137
1803,0,0,0,2
1804,0,0,0,4
1805,19,23,2,341
1806,4,0,2,153
1807,13,30,26,1932
1808,0,0,0,12
1809,0,1,0,8
1810,34,130,89,3592
1811,0,3,3,152
1815,2,2,1,166
1818,2,0,3,84
1819,0,0,1,22
1820,6,18,3,159
1821,1,9,2,87
1822,14,38,0,238
1823,0,0,1,14
1824,10,3,0,153
1827,0,0,1,40
1829,1,8,3,228
1831,0,0,0,2
1832,1,2,3,151
1834,4,3,9,310
1835,3,12,5,647
1838,919,1687,850,52076
1842,0,0,0,3
1843,186,712,642,36530
1845,0,3,0,10
1849,0,0,0,6
1851,2,10,2,103
1852,10,12,4,377
1854,52,145,185,13840
1855,0,0,0,10
1860,13,30,52,2212
1861,5,3,4,245
1862,0,1,0,4
1863,2000,9309,10200,371738
1864,0,0,0,7
1865,0,0,0,7
1867,4,4,0,160
1869,3,11,1,56
1870,2,7,3,240
1871,0,2,5,126
1872,14,23,6,356
1876,1,3,0,225
1877,124,176,57,3921
1878,0,0,0,4
1879,0,0,0,4
1881,0,0,0,5
1882,0,0,0,3
1883,0,0,0,21
1884,0,0,0,1
1886,3,5,5,183
1887,0,8,5,510
1888,1,3,1,42
1890,0,2,2,131
1891,0,0,0,28
1892,11,30,6,452
1894,0,1,0,11
1895,1,2,2,66
1897,0,0,0,5
1898,0,0,0,9
1899,0,0,0,8
1900,20,42,26,695
1901,1,6,0,65
1902,0,0,0,3
1904,1,1,1,78
1905,0,3,0,27
1906,0,0,0,26
1908,2,2,0,11
1909,0,0,0,3
1910,2,0,0,80
1911,66,0,9,790
1912,1,0,0,26
1913,0,0,1,4
1914,0,0,0,10
1915,0,0,0,2
1916,2,6,25,725
1917,1,1,0,7
1918,0,0,0,9
1921,1,0,1,20
1922,1,0,0,12
1924,0,0,0,1
1925,1,5,0,82
1928,0,6,11,197
1930,6,16,2,295
1931,1,4,4,274
1932,0,4,2,282
1933,0,0,0,4
1934,0,0,2,25
1936,1,6,3,88
1937,2,8,9,563
1941,0,3,3,159
1943,6,9,7,280
1944,0,0,1,6
1945,0,1,0,41
1946,0,0,0,11
1949,0,0,0,29
1951,0,0,0,3
1953,0,0,2,44
1954,25,36,15,1038
1955,0,0,0,12
1956,26,53,27,1565
1957,0,2,0,4
1958,6,35,9,414
1959,0,12,5,173
1960,6,4,1,339
1961,3,7,4,186
1962,1,11,4,654
1963,92,214,129,5334
1964,0,0,0,3
1965,4,15,9,287
1966,0,1,0,11
1968,75,235,230,13729
1969,69,291,26,1660
1970,0,2,4,1260
1971,0,5,3,180
1975,0,1,0,29
1978,0,1,1,45
1980,3,8,0,79
1981,0,0,0,4
1982,0,0,0,9
1983,0,0,1,20
1984,0,1,0,2
1985,3,2,4,307
1987,0,1,1,31
1990,16,76,38,2137
1992,0,0,0,25
1993,3,3,0,47
1996,11,12,4,352
1997,0,0,1,23
2000,1,7,4,267
2001,0,0,0,11
2002,0,0,0,4
2004,0,1,0,27
2006,0,0,0,2
2007,6,10,3,158
2009,0,0,0,8
2010,54,99,61,2016
2012,0,0,0,31
2014,1,5,1,63
2015,4,10,6,403
2016,18,43,26,1392
2021,0,0,0,19
2022,0,0,1,18
2023,0,0,0,1
2024,3,5,3,265
2025,0,0,0,4
2026,12,20,2,514
2027,0,0,1,9
2028,0,0,0,18
2029,26,86,24,3716
2030,3,4,1,48
2034,6,8,1,273
2035,0,2,0,7
2040,79,168,23,1956
2042,47,119,14,990
2043,1,3,1,39
2044,0,0,0,2
2046,5,14,10,228
2047,2,0,0,44
2048,18,50,46,2226
2049,0,0,0,7
2050,4,9,10,506
2051,4,7,3,99
2052,3,4,1,90
2053,1,3,3,287
2054,47,53,27,975
2056,0,0,0,3
2057,0,2,0,109
2058,0,0,0,3
2059,0,0,0,6
2061,0,0,0,5
2062,6,10,5,342
2063,1,2,0,31
2064,0,0,0,28
2065,0,0,0,15
2067,0,0,0,9
2069,0,0,0,49
2070,0,0,0,2
2076,8,12,7,445
2077,0,0,1,3
2079,14,27,6,424
2083,0,1,0,2
2085,3,6,0,177
2086,0,0,0,1
2087,2,17,1,88
2088,1,1,0,15
2089,6,13,3,145
2090,0,0,0,4
2091,4,7,0,74
2092,13,13,10,414
2093,2,4,1,37
2094,0,0,0,4
2095,0,0,0,13
2097,5,8,5,119
2098,1,0,0,11
2100,0,0,0,25
2101,0,2,1,90
2102,4,7,2,164
2103,2,11,17,551
2104,0,1,0,23
2105,0,0,0,2
2107,1,1,1,85
2112,0,0,0,1
2114,5,9,2,414
2117,7,3,0,139
2119,0,2,1,299
