item_category,total_interaction_count,unique_user_count,unique_item_count
8099,15770,1054,3770
6226,15669,1399,3488
3687,15460,517,3856
4116,15222,933,3186
2901,15164,994,2817
12569,14994,1560,1794
6327,14946,1334,3569
8771,14787,1207,4015
4582,14776,895,2327
8161,14503,963,3129
446,14478,1542,3075
895,14428,1411,1850
1968,14269,1227,2866
1854,14222,777,4657
6576,13686,1497,2899
436,13657,1148,3910
3942,13598,881,1825
3431,13495,1137,2131
4333,13349,581,2109
7344,13070,1196,2806
10481,13018,949,1991
8561,12841,1040,3067
9807,12715,1285,2319
1396,12531,909,2811
13727,12450,478,4016
4778,12260,718,3102
8270,12237,763,2385
7350,12098,998,3214
8956,12069,1213,3297
5908,12048,1244,2373
12230,11979,1280,3282
3760,11934,611,2341
6936,11694,1357,3122
9569,11692,945,4500
5273,11662,1114,2555
8860,11632,1265,2230
12982,11627,1274,3063
12141,11614,1080,2926
7572,11507,1189,3032
9820,11479,957,3514
8986,11472,770,3090
939,11382,705,2446
492,11311,983,2312
10544,11233,564,2664
11757,11174,998,2710
889,11146,1090,2756
10507,11127,1052,2733
9720,10957,1260,2038
13381,10917,465,2293
12388,10851,883,2621
8650,10596,915,1755
3892,10587,539,2619
9790,10567,1195,2832
198,10339,631,2550
9579,10327,717,3022
9552,10305,966,2248
1308,10237,835,1958
1385,9971,878,1845
9053,9778,1139,2193
451,9733,1203,1746
7393,9635,509,1778
4584,9521,937,2599
5263,9496,507,2008
3475,9231,599,3021
11834,9160,651,2361
11,8995,827,1872
6717,8992,516,2153
9205,8946,436,1309
12221,8931,614,1712
2261,8882,789,1879
1797,8855,814,1293
1674,8821,873,2062
12326,8782,805,1579
3960,8739,601,1587
3940,8606,293,1976
12170,8579,717,1217
10344,8556,697,2327
10590,8439,1077,1440
6724,8438,636,2029
12753,8291,487,2408
12147,8283,359,2065
814,8240,635,1916
10258,8238,637,2734
1427,8186,620,2294
3397,8155,552,1718
11296,8110,564,1513
12685,8076,950,1439
4254,8067,1139,2592
8586,7996,827,1828
5533,7961,842,1950
10275,7942,763,1804
231,7940,700,992
4008,7936,594,1924
11178,7917,916,1224
675,7909,871,1722
107,7862,870,2167
10875,7841,946,2312
2950,7809,853,1614
9598,7799,863,1110
1303,7771,848,1521
10356,7737,826,2869
1483,7718,876,820
1518,7714,796,1876
8179,7707,918,1908
7831,7625,953,923
6417,7622,532,1279
2153,7604,850,1730
4898,7548,704,1932
12744,7541,563,1962
12973,7480,621,1582
10271,7467,717,1143
5623,7446,838,1203
10290,7406,412,1464
5571,7379,825,1786
4721,7344,947,1366
2610,7310,664,1929
6228,7267,835,1337
5017,7266,926,1626
10072,7257,978,666
10079,7245,737,1633
5454,7236,898,1594
215,7228,703,1537
284,7226,840,1391
11520,7216,714,1888
8664,7208,845,1122
7299,7205,568,1401
1169,7184,421,1968
11376,7178,695,1539
11311,7141,577,1372
8077,7109,601,1927
5751,7083,352,1877
7606,7004,813,1144
12345,6996,822,2129
3015,6954,492,1902
11914,6937,642,1377
6828,6936,681,1392
13926,6920,701,1476
8665,6827,536,1795
12553,6784,613,1312
4999,6780,1403,878
7383,6689,601,1248
8930,6685,686,1819
5513,6593,939,2249
10460,6579,468,795
5376,6578,793,1829
12184,6565,509,1417
10120,6514,476,2614
12368,6513,696,1571
9130,6450,643,1038
7428,6431,605,1331
4747,6422,356,1849
12311,6396,530,1067
7929,6392,860,1977
9693,6371,593,1704
13326,6348,584,982
4520,6335,574,2067
9847,6329,510,1508
11489,6309,714,937
11981,6294,794,1226
8126,6266,804,2247
14033,6265,739,1680
3979,6259,643,1287
10412,6224,669,1090
12304,6165,580,997
9752,6149,745,1819
3898,6147,310,1606
7939,6139,426,2183
10753,6129,646,1416
13152,6112,375,1556
5550,6110,597,805
3944,6104,724,1101
4190,6103,704,1474
3852,6102,649,1552
7955,6048,421,2258
1519,5987,526,1493
4753,5922,399,1193
13288,5906,534,648
3502,5875,571,1244
94,5795,605,1662
2656,5784,562,1203
1963,5769,508,1266
767,5765,460,1089
7880,5763,470,1392
4364,5736,371,1671
12919,5692,552,687
8132,5678,852,1363
1741,5659,592,1227
4213,5638,431,1374
9450,5593,498,1531
13038,5565,559,1172
5727,5562,334,1503
3975,5532,495,1512
11756,5532,628,1080
11307,5502,579,1817
9001,5482,793,1158
5201,5458,708,807
740,5456,740,2124
13823,5413,430,1098
5993,5409,435,848
3378,5402,345,1617
11103,5399,317,1927
7140,5395,388,1101
5699,5386,384,1142
9086,5376,561,2101
6669,5374,551,751
11335,5373,378,1446
2334,5352,455,1189
6460,5324,611,1190
11497,5317,605,779
4111,5301,558,1312
3988,5291,354,1006
7582,5280,558,1224
6541,5261,594,1271
8254,5247,695,841
150,5236,492,728
363,5223,319,1627
9518,5218,544,792
11140,5204,716,1006
2415,5177,625,1785
13852,5173,578,859
4605,5172,505,1351
3275,5164,667,807
7516,5154,387,1492
7590,5152,692,998
9933,5151,486,1384
9444,5149,515,694
4625,5080,166,1460
10265,5064,712,692
11763,5061,562,1216
6697,5059,467,743
8365,5058,463,1194
13280,5058,616,1329
11618,5049,356,1337
3321,5015,410,956
6825,5008,479,1326
8796,5007,714,707
6256,4987,484,1216
6945,4933,318,1066
8901,4922,485,928
12658,4913,272,1007
603,4904,770,1351
2754,4900,526,1303
5553,4896,592,861
10520,4893,588,1027
13712,4890,505,1042
1230,4887,696,988
10135,4875,656,1192
887,4874,360,643
7322,4862,235,1269
6795,4855,719,1199
14038,4835,592,736
3846,4834,523,1188
6689,4794,667,1324
12294,4768,525,533
8792,4765,490,589
10686,4754,646,530
9753,4744,453,846
9762,4723,280,941
5084,4647,256,1265
881,4603,571,1023
9503,4595,464,735
13547,4592,678,1336
10804,4576,460,757
7917,4559,574,1069
3074,4546,525,535
13846,4534,542,556
6754,4533,424,1023
2828,4528,539,1122
4435,4518,554,984
3271,4504,659,982
10920,4492,494,584
11159,4473,414,1079
7712,4456,426,1367
438,4452,596,1026
10582,4447,279,1241
4537,4440,411,1276
8376,4440,446,1174
9942,4427,363,1377
7033,4418,467,736
4247,4411,305,929
11821,4392,553,891
13003,4391,305,1030
10037,4390,543,1120
9856,4376,271,1385
4076,4373,499,880
6045,4369,570,1261
12490,4369,547,773
11330,4355,375,1256
12441,4328,457,849
6575,4309,489,1063
9638,4306,319,1117
3111,4294,391,1351
1877,4278,504,1089
12406,4272,408,752
6253,4267,401,599
5822,4231,508,1091
7791,4228,444,895
11270,4224,460,1024
10015,4223,547,687
5809,4222,723,689
1723,4210,590,334
733,4198,538,1112
9017,4187,522,1217
13599,4181,404,1531
7467,4169,347,805
2739,4155,489,863
1337,4148,469,630
7753,4136,269,1345
13853,4124,563,1050
6402,4101,526,1119
444,4079,250,1608
630,4048,412,636
1509,4045,601,600
9401,4035,217,1157
3879,4034,444,985
13186,4021,447,739
1370,4017,295,598
4642,4016,381,1080
8744,3998,539,726
2225,3991,294,1019
13763,3968,570,1041
3093,3965,548,907
13092,3940,160,1018
13619,3927,387,708
11721,3927,419,502
9396,3913,335,899
1392,3903,246,1421
4670,3897,351,758
7167,3880,601,954
2551,3868,516,634
8649,3867,668,595
8709,3864,318,466
9618,3854,401,701
10576,3852,229,626
2029,3852,459,1338
1810,3845,423,847
6700,3842,288,1016
13515,3812,546,882
6295,3802,339,1003
3046,3801,517,1005
6424,3794,544,341
1098,3773,449,862
5944,3759,589,867
8966,3756,494,696
4250,3723,326,1173
3833,3722,460,1278
12512,3717,373,498
12135,3706,257,729
574,3705,433,1135
11470,3700,360,596
8662,3684,501,1094
9829,3682,636,1235
12172,3676,578,1194
9298,3638,446,468
9100,3631,233,930
7708,3621,373,1037
13971,3584,491,381
1441,3578,250,1119
13332,3574,326,810
4931,3542,249,1041
9232,3541,455,747
3656,3519,525,576
12421,3517,336,722
7079,3506,834,1056
11589,3497,422,806
3528,3492,852,567
2730,3480,507,499
3067,3463,275,674
1080,3462,264,737
11379,3460,358,1005
9816,3451,458,1141
5752,3442,285,827
10524,3442,126,1107
4773,3427,425,542
12819,3412,211,879
1346,3389,413,788
10121,3385,638,815
11039,3384,233,697
983,3384,415,869
2254,3376,349,960
12683,3366,313,618
3925,3361,389,1023
10662,3360,423,668
3625,3359,451,701
3090,3356,440,976
6315,3338,387,791
3709,3326,492,398
8537,3316,269,666
8681,3314,340,641
11475,3304,292,642
5480,3299,408,461
3862,3293,302,706
5951,3277,245,683
2252,3271,477,359
10250,3270,564,1088
5661,3270,373,662
11797,3261,333,823
9784,3257,314,560
8010,3249,241,808
784,3221,249,930
1650,3221,582,627
10722,3219,284,844
3956,3218,578,1103
13590,3212,292,659
4322,3204,351,1125
7580,3198,486,458
4864,3190,331,738
6431,3186,408,772
7639,3184,375,727
10063,3178,426,1182
2667,3168,437,569
8040,3167,462,694
2568,3163,302,832
279,3159,275,682
12564,3158,466,1144
13455,3156,501,660
384,3154,474,848
9899,3142,162,967
8721,3137,312,902
8854,3118,497,622
4701,3094,383,863
4329,3087,186,732
8765,3077,415,909
6986,3075,533,463
6794,3066,411,894
13374,3052,400,447
108,3049,415,566
3793,3045,533,785
10236,3044,298,485
4588,3038,458,1196
316,3021,373,867
8583,3019,323,571
12570,3014,349,754
8849,2987,399,937
6058,2975,332,639
2313,2954,480,565
1564,2944,448,461
11774,2943,494,524
12479,2934,194,918
12790,2917,392,832
2511,2893,488,889
4276,2890,355,772
10187,2890,362,765
9334,2885,306,744
6742,2858,441,452
732,2843,429,547
1110,2843,230,997
11339,2833,362,577
8575,2832,219,487
5002,2826,368,355
9109,2823,113,644
12261,2822,394,516
13378,2822,423,648
232,2821,171,651
11492,2812,202,611
5600,2798,471,305
7985,2789,224,551
12100,2774,239,495
11904,2770,503,857
5127,2769,430,857
3000,2759,438,850
4677,2759,415,821
6991,2756,411,777
5477,2755,478,360
2683,2752,283,665
8373,2747,314,642
3464,2736,369,638
9909,2729,391,573
9413,2726,195,811
4709,2724,334,841
5141,2717,255,550
1155,2713,438,828
9970,2710,441,532
13114,2707,205,709
12370,2702,279,650
8605,2698,200,541
4840,2696,166,935
3056,2693,375,429
13107,2692,296,686
10501,2690,429,836
200,2689,286,974
9664,2684,543,369
484,2683,288,660
2490,2681,447,562
12097,2679,393,137
9102,2676,426,668
940,2675,353,772
1361,2658,343,576
11691,2656,251,748
6531,2655,383,519
7811,2654,354,616
2631,2653,491,748
13080,2645,296,1025
7911,2638,276,436
12741,2637,296,777
4561,2635,326,571
12249,2624,220,605
6321,2614,481,702
288,2612,156,542
5492,2607,323,587
6235,2605,342,925
10629,2597,374,426
10012,2591,160,709
13404,2586,276,411
7619,2586,291,476
4560,2586,450,620
13269,2581,319,426
10472,2552,327,739
7850,2543,459,642
12158,2539,344,368
5065,2536,291,469
10213,2533,421,318
7601,2526,331,546
11327,2525,382,705
7146,2520,283,501
893,2518,141,681
11508,2517,111,595
3176,2513,259,859
13050,2510,359,695
13713,2487,308,746
6287,2482,353,677
10785,2480,466,475
11135,2477,411,512
56,2470,291,408
3827,2462,286,688
13334,2460,338,488
8007,2453,329,628
4382,2448,285,631
10155,2447,308,545
2771,2446,236,470
5360,2446,272,689
6020,2440,253,471
10364,2435,274,612
5176,2432,315,474
7551,2425,193,704
512,2420,345,618
8332,2418,298,589
1032,2418,292,729
9276,2412,388,672
12551,2411,410,660
8990,2409,194,559
4954,2403,401,462
5649,2401,440,574
6084,2387,246,667
3843,2383,436,378
1720,2383,181,671
1508,2373,302,672
4593,2368,340,768
13963,2366,295,683
3200,2361,366,609
9576,2353,178,848
7021,2342,371,519
2048,2340,332,570
11622,2336,320,162
6367,2335,97,348
6678,2327,233,718
11750,2322,224,574
1159,2319,245,571
9279,2312,197,578
1860,2307,237,597
6397,2299,215,637
6248,2296,469,297
6121,2294,323,330
4405,2293,341,531
2605,2287,413,201
905,2285,321,481
4097,2281,328,528
1166,2270,91,568
888,2267,209,544
1990,2267,382,720
4280,2261,406,565
13664,2258,429,398
5932,2257,273,793
8300,2252,314,511
13730,2248,240,610
280,2244,537,188
12996,2237,276,1025
7928,2236,210,552
10975,2234,346,528
2010,2230,165,757
4540,2229,314,351
2040,2226,389,566
8749,2215,367,291
11840,2213,99,470
6588,2211,99,555
856,2207,226,511
1267,2206,114,928
11917,2199,295,515
11895,2198,383,585
7390,2193,200,733
11771,2189,199,367
7311,2189,329,686
4371,2180,331,707
8951,2172,233,567
9280,2170,312,443
6272,2169,307,424
7766,2164,277,407
5625,2152,265,456
8480,2146,355,532
4365,2145,373,404
10029,2136,338,606
4505,2135,303,596
11909,2128,275,521
2866,2123,342,397
6247,2122,204,786
7032,2110,206,512
4962,2105,321,344
9789,2102,152,607
6194,2101,215,627
10609,2091,237,497
3690,2087,325,726
12239,2087,275,566
1116,2083,218,846
5494,2078,264,629
909,2077,345,515
8432,2077,318,617
8415,2075,235,470
8280,2073,243,538
6824,2068,215,439
10216,2066,137,469
14061,2066,266,391
9278,2056,248,432
2298,2055,276,355
220,2049,231,395
1969,2046,241,698
12615,2036,269,380
13985,2031,375,416
547,2024,35,598
5981,2023,314,655
8409,2007,373,437
836,2006,259,328
7182,2003,264,389
1807,2001,294,358
11776,1985,314,312
5915,1983,351,416
6516,1978,293,429
3081,1977,252,345
3921,1976,206,402
11687,1971,470,546
12536,1971,253,674
470,1970,212,726
5332,1965,284,614
5351,1962,373,683
12470,1957,184,472
13486,1952,199,571
1750,1951,220,453
11499,1948,264,305
7645,1947,282,445
12398,1946,311,385
2170,1942,185,716
9540,1926,225,596
782,1922,304,531
6456,1920,268,372
10973,1909,130,454
13773,1908,328,615
2949,1907,810,563
4636,1907,210,510
2158,1904,285,563
13396,1901,238,257
10825,1900,240,405
5988,1900,350,467
11879,1897,238,402
10732,1894,104,339
1408,1888,171,652
11219,1885,272,514
12386,1881,190,693
5320,1879,236,602
13729,1875,321,286
9833,1871,323,298
5319,1867,213,441
9526,1867,241,356
6059,1866,272,339
5354,1856,316,255
1310,1856,189,489
4984,1856,249,277
10734,1853,296,290
432,1850,224,381
13807,1845,228,367
7404,1839,157,560
8141,1838,298,514
7951,1834,168,417
2649,1832,357,380
13028,1831,200,449
9896,1829,145,323
13932,1827,118,503
12921,1814,193,566
9297,1812,174,442
4396,1812,337,493
12680,1811,305,261
12380,1806,205,369
4704,1800,110,468
3222,1799,235,459
13305,1798,214,457
5466,1794,294,521
9354,1788,250,571
13541,1787,160,517
169,1785,123,495
3324,1784,196,434
7117,1778,225,381
8043,1774,290,392
8879,1773,227,423
9307,1770,327,418
7266,1770,249,410
1029,1763,223,460
2347,1763,227,572
5701,1763,253,302
4533,1760,188,683
8685,1758,209,456
7720,1751,199,309
9959,1746,211,401
7711,1742,192,231
10137,1740,236,585
4153,1738,351,523
8491,1736,233,472
8639,1735,362,466
12998,1732,156,464
10699,1732,216,410
883,1730,227,322
10569,1730,363,387
10637,1725,114,350
7618,1723,245,535
6564,1719,142,588
12621,1716,190,574
1199,1713,106,492
155,1711,133,431
13176,1705,410,510
2395,1705,209,229
2931,1704,120,536
4282,1703,372,586
4295,1703,204,362
8943,1702,285,335
2291,1702,84,400
11304,1700,328,439
5114,1699,122,434
6655,1688,262,336
2177,1675,120,551
2463,1674,245,459
6400,1674,203,335
8595,1671,241,483
1956,1671,311,291
12245,1670,231,436
11625,1669,321,375
300,1669,191,494
12582,1669,148,481
5446,1665,301,581
13670,1664,223,262
254,1664,178,525
11952,1663,325,523
4273,1661,273,453
1215,1656,140,502
2255,1655,263,340
9118,1654,127,696
11894,1653,301,387
987,1649,218,469
4195,1647,308,272
9155,1647,211,563
9849,1646,253,619
5801,1646,264,361
8371,1646,330,240
7239,1639,282,662
4127,1638,252,505
8088,1637,270,316
3723,1632,318,609
13698,1630,250,458
849,1630,194,242
13980,1626,264,370
1504,1626,289,260
24,1625,290,259
3659,1620,119,547
725,1617,167,283
2936,1615,249,491
12721,1614,201,377
12913,1607,156,412
6307,1605,265,214
1477,1604,146,255
2204,1603,267,307
4817,1601,124,437
4700,1601,241,287
13393,1600,141,290
6401,1593,175,424
6673,1593,257,284
7971,1592,154,323
8829,1592,74,308
1173,1588,277,412
2226,1586,293,491
1317,1579,171,544
11062,1577,149,493
4583,1573,143,284
4210,1564,234,328
12626,1563,173,411
13042,1563,228,516
9637,1557,87,368
9090,1557,218,433
1486,1557,302,305
4025,1556,182,364
7205,1556,391,269
3266,1556,261,289
12142,1552,237,404
13819,1547,292,472
10908,1546,204,297
590,1545,61,623
13754,1544,246,464
1048,1540,229,481
1377,1540,75,609
2839,1536,247,250
10798,1536,161,200
11925,1535,325,361
7023,1531,240,521
5878,1530,189,449
3636,1529,143,490
5447,1525,318,318
10678,1522,233,381
4832,1518,305,389
10529,1517,309,504
7768,1517,173,551
769,1512,125,495
4531,1511,112,520
5214,1510,196,412
9881,1508,229,540
9938,1496,140,336
14024,1495,145,299
6331,1493,159,493
8004,1492,118,246
11493,1492,196,340
12740,1489,242,278
10930,1488,96,352
6304,1487,171,342
7966,1482,232,366
3358,1480,197,538
10846,1480,205,287
2016,1479,172,407
2679,1476,175,330
3924,1474,293,303
6091,1473,265,485
4303,1472,146,279
7452,1469,184,525
11076,1465,206,346
7250,1454,282,333
3747,1452,203,422
11324,1449,189,259
9944,1448,140,287
9258,1448,259,295
9224,1444,143,319
11564,1440,226,384
11034,1434,319,365
1198,1432,223,322
4110,1431,293,364
6526,1431,230,558
5522,1430,294,461
8159,1428,254,281
4739,1424,229,227
110,1422,155,316
6989,1422,352,190
6168,1421,207,220
4991,1418,140,409
7450,1417,194,447
8512,1415,128,383
5899,1414,153,368
7401,1413,252,310
6900,1410,168,468
11685,1408,199,405
6677,1404,261,331
11595,1398,145,491
12968,1396,200,355
4627,1394,185,485
7297,1391,172,276
12584,1391,171,357
12652,1389,222,176
3682,1389,238,496
5329,1386,190,309
5898,1385,63,487
879,1385,275,190
10044,1385,66,445
8666,1384,218,302
12778,1382,208,354
10360,1381,195,330
12693,1381,222,322
12268,1380,148,286
11680,1376,95,440
13598,1375,95,251
8484,1374,213,233
13911,1368,196,251
4387,1367,174,397
2947,1362,202,248
4230,1361,290,429
1096,1361,249,286
2459,1355,178,309
11082,1354,142,477
3330,1354,212,346
10708,1351,192,341
8560,1350,112,472
9836,1348,51,325
3509,1347,236,290
9101,1346,145,472
11740,1346,350,373
11837,1346,86,225
3670,1342,244,411
6267,1336,138,317
7061,1334,203,280
13066,1333,122,411
6060,1332,192,210
10010,1331,246,342
2431,1329,298,175
5643,1326,117,327
11477,1325,198,439
13460,1325,165,310
11599,1323,186,290
5985,1322,122,405
10983,1321,155,381
9311,1319,154,250
13318,1318,132,358
5879,1317,129,286
4949,1313,194,292
1242,1311,230,515
4965,1310,86,446
3001,1310,271,386
9372,1306,151,349
10935,1295,200,164
12251,1291,159,267
9960,1291,201,304
1686,1283,154,241
5712,1282,194,623
5444,1282,120,472
934,1281,102,338
8147,1277,116,380
9229,1277,77,318
5881,1273,137,435
7354,1272,242,194
1970,1266,71,516
13840,1262,96,334
1250,1262,186,219
9605,1258,207,253
8526,1256,115,523
2413,1253,134,319
11956,1252,287,312
606,1252,186,258
12137,1251,235,356
5407,1250,160,262
2175,1250,137,354
5930,1249,213,350
1451,1247,138,386
1324,1246,233,294
12375,1244,138,411
297,1239,71,296
7143,1236,118,210
1642,1233,239,274
12015,1229,247,242
1604,1229,149,300
296,1223,238,291
597,1223,163,366
67,1221,105,327
5048,1221,123,314
2130,1221,148,286
7273,1219,250,270
10762,1219,235,143
2939,1218,220,326
12823,1211,177,291
738,1210,113,363
4651,1207,142,314
1213,1205,132,734
12018,1205,213,183
2909,1203,160,181
9580,1202,233,303
5037,1201,121,353
10304,1201,152,291
3087,1201,152,383
1601,1200,124,317
6420,1199,301,157
4159,1196,212,373
5372,1191,161,239
3245,1190,161,251
13759,1189,132,340
13087,1186,137,280
13425,1184,158,373
7622,1182,42,354
5692,1181,204,308
2797,1178,94,130
10283,1175,167,236
11340,1174,183,416
6793,1173,119,418
6924,1172,150,212
8234,1171,132,217
2042,1170,259,291
2479,1169,129,307
410,1168,257,339
13615,1166,99,286
10781,1164,158,314
6518,1163,245,195
8066,1160,156,237
10338,1156,212,260
10464,1156,196,329
8646,1155,201,455
765,1152,143,369
7573,1152,130,401
43,1148,79,382
4690,1147,164,223
8515,1145,234,325
4310,1142,146,284
7276,1140,178,253
8343,1137,126,446
5340,1136,196,257
483,1135,160,305
9327,1135,264,367
493,1133,152,288
997,1133,217,220
8216,1132,220,236
85,1130,164,357
3877,1130,133,281
9948,1130,160,249
9191,1128,198,194
1005,1120,146,430
12837,1120,129,226
4688,1118,123,187
11058,1117,145,456
4781,1116,123,421
2380,1115,208,203
1954,1114,247,336
2373,1114,155,148
8656,1113,144,288
6748,1113,164,369
11047,1113,160,271
1126,1110,205,214
10239,1108,195,404
11802,1108,156,260
12387,1107,187,301
11695,1107,224,334
4181,1104,217,269
2054,1102,182,192
11481,1100,140,298
10585,1099,186,294
5842,1098,250,252
7691,1097,79,381
3476,1094,133,289
6792,1092,218,187
10659,1089,196,219
10599,1088,180,223
3865,1087,166,199
6744,1085,100,209
2312,1084,82,246
2758,1083,185,334
8129,1083,196,163
5919,1083,236,368
12862,1081,116,257
5165,1080,192,266
2801,1077,213,271
7296,1076,198,166
3945,1076,141,303
4438,1076,106,291
13883,1074,213,217
5276,1074,229,115
6964,1073,237,401
5962,1072,77,307
5622,1069,217,172
7898,1067,217,299
3561,1067,234,318
10322,1064,222,219
6264,1063,169,187
4372,1061,171,246
9388,1058,150,358
705,1058,115,323
13007,1057,186,162
4902,1055,142,224
1190,1055,141,198
9491,1055,198,202
13308,1054,192,227
11273,1054,143,212
12316,1053,150,366
11281,1053,177,179
3264,1053,103,339
1561,1052,166,252
6562,1051,138,179
9719,1050,119,335
8104,1050,75,285
10725,1049,61,344
13915,1049,56,316
8405,1048,186,322
2302,1048,199,210
6211,1047,265,307
11606,1045,83,258
281,1044,182,258
6487,1044,127,413
2535,1043,154,156
4455,1042,157,220
6249,1042,157,159
7405,1039,87,269
5635,1038,218,430
9610,1038,118,334
10085,1035,133,427
7233,1034,129,335
8967,1034,137,252
3483,1034,257,303
6082,1033,81,256
12560,1032,133,203
8892,1028,178,264
7727,1024,202,112
11832,1024,123,320
2569,1023,83,355
7229,1021,142,490
11992,1019,88,276
13769,1016,210,321
3770,1016,124,149
12760,1016,153,208
47,1014,101,246
14041,1013,154,263
9561,1012,204,309
3599,1007,160,380
10380,1002,159,294
1183,1002,195,203
11856,1001,83,290
12540,1000,121,204
5324,999,171,258
838,999,105,344
12662,998,122,283
2213,995,73,203
6657,995,219,260
8,993,51,335
11965,991,173,168
7980,991,224,242
4539,989,129,260
4601,989,161,185
758,987,138,209
11038,987,161,229
5604,986,121,327
10799,986,89,307
3789,984,128,271
12889,984,103,379
11610,982,64,358
11385,981,244,316
3537,981,155,206
6957,980,177,306
11111,979,169,258
1572,979,166,177
730,978,67,303
7653,978,192,332
118,976,165,278
5269,976,50,267
6015,975,72,292
4573,973,142,166
7961,970,96,379
1610,969,69,219
5824,968,85,393
566,968,210,321
6154,967,167,267
5578,967,125,294
12772,967,116,261
6550,966,233,392
12161,966,93,360
9893,965,158,307
9593,965,134,318
11398,964,198,300
9202,964,206,267
1455,964,170,298
11455,963,131,180
9872,958,137,227
1144,958,102,296
114,958,194,229
5558,956,148,214
11876,954,164,172
7677,953,75,303
10019,950,189,192
4998,948,145,167
7472,944,110,231
4869,944,149,297
13638,944,155,234
4923,943,207,176
11274,943,177,187
5264,942,172,257
6489,942,163,244
9419,941,100,292
332,941,188,364
6101,939,96,137
7070,936,176,194
13928,933,134,241
13548,932,49,236
1550,932,98,281
1632,927,80,237
674,926,91,148
12317,925,146,199
354,925,85,347
8184,925,154,127
11301,923,150,320
7213,923,130,357
6888,922,123,246
9021,921,166,205
8489,918,10,187
8083,918,86,234
10735,918,132,340
2160,918,157,296
8156,918,146,324
5057,917,128,304
7536,916,70,285
3328,915,111,212
712,913,119,199
1527,913,194,243
13355,913,61,306
11702,912,176,112
9384,910,44,270
5579,909,116,228
4091,908,193,261
2777,908,172,346
2831,907,95,292
6711,907,123,250
5081,907,164,243
8521,907,103,192
6423,907,80,319
11967,905,137,222
12602,904,130,250
7673,902,77,319
11393,902,131,169
8907,902,165,230
6437,902,107,155
5051,901,118,228
819,900,97,336
7484,899,72,304
9624,897,97,283
7466,895,140,233
11616,895,159,215
5334,895,98,362
2859,895,171,224
1453,895,138,247
3341,894,120,153
337,893,150,276
7014,893,162,163
10839,893,163,161
12029,892,93,303
10832,890,115,254
13365,890,91,256
2648,889,109,204
6176,888,78,290
10741,886,45,352
